doc_section;SKU
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_de_conformitate_IPC-HDW1439DT-PV-STW.pdf"" target=""_blank"">
  Certificat de conformitate IPC-HDW1439DT-PV-STW
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_IPC-HDW1439DT-PV-STW.pdf"" target=""_blank"">
  Fisa tehnica IPC-HDW1439DT-PV-STW
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Ghid_rapid_IPC-HDW1439DT-PV-STW.pdf"" target=""_blank"">
  Ghid rapid IPC-HDW1439DT-PV-STW
</a></div></div></div>";IPC-HDW1439DT-PV-STW
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_SAF-UTP1LN5E-305M-CU.pdf"" target=""_blank"">
  Fisa tehnica SAF-UTP1LN5E-305M-CU
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_de_conformitate_SAF-UTP1LN5E-305M-CU.pdf"" target=""_blank"">
  Certificat de conformitate SAF-UTP1LN5E-305M-CU
</a></div></div></div>";SAF-UTP1LN5E-305M-CU
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_DH-MAX18.pdf"" target=""_blank"">
  Fisa tehnica DH-MAX18
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/CE_DH-MAX18.pdf"" target=""_blank"">
  Certificat de conformitate DH-MAX18
</a></div></div></div>";DH-MAX18
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_de_conformitate_IPC-HDW1439V-A-IL-0280B.pdf"" target=""_blank"">
  Certificat de conformitate IPC-HDW1439V-A-IL-0280B
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_IPC-HDW1439V-A-IL-0280B.pdf"" target=""_blank"">
  Fisa tehnica IPC-HDW1439V-A-IL-0280B
</a></div></div></div>";IPC-HDW1439V-A-IL-0280B
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_NVR_4_canale_SATA_4MP_40Mbps_HiWatch_Hikvision_HWN-2104H-4P_C_.pdf"" target=""_blank"">
  Fisa tehnica HWN-2104H-4P(C)
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_de_conformitate_NVR_4_canale_SATA_4MP_40Mbps_HiWatch_Hikvision_HWN-2104H-4P_C_.pdf"" target=""_blank"">
  Certificat de conformitate HWN-2104H-4P(C)
</a></div></div></div>";HWN-2104H-4P(C)
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_NVR_8_canale_4MP_-_2K_SATA_Hikvision_HWD-2108MH_C_.pdf"" target=""_blank"">
  Fisa tehnica HWD-2108MH(C)
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_de_conformitate_NVR_8_canale_4MP_-_2K_SATA_Hikvision_HWD-2108MH_C_.pdf"" target=""_blank"">
  Certificat de conformitate HWD-2108MH(C)
</a></div></div></div>";HWD-2108MH(C)
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia DMSS - iOS
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/guard-viewer/id1026746566"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (APPLE)
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.app.phone.mobileez4view&hl=ro&gl=US"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (ANDROID)
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/GuardStation_Win64-B1130.3.6.0.L08_IN_.zip"" target=""_blank"">
  Guard Station - App pentru Windows x64
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/GuardStation_Win32-B1130.3.2.0_IN_.zip"" target=""_blank"">
  Guard Station - App pentru Windows x32
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/GuardStation_Mac-B1113.3.2.1_IN_.zip"" target=""_blank"">
  Guard Station app –  Mac OS
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Specificatii_tehnice_IPC2124LE-ADF28KM-G.pdf"" target=""_blank"">
  Fisa Tehnica IPC2124LE-ADF28KM-G (EN)
</a></div></div></div>";IPC2124LE-ADF28KM-G
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_SAF-24V10A-DIN.pdf"" target=""_blank"">
  Fisa tehnica SAF-24V10A-DIN
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Instructiuni_de_siguranta_pentru_surse_de_alimentare_safer.pdf"" target=""_blank"">
  Instructiuni de siguranta pentru alimentatoare Safer
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/DECLARATIE_DE_CONFORMITATE_SURSE_SI_ALIMENTATORI_uri_SAFER.pdf"" target=""_blank"">
  Declaratie de conformitate Surse si alimentatori Safer
</a></div></div></div>";SAF-24V10A-DIN
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.smartlifeiot&hl=ro&gl=US"" target=""_blank"">
   Descarca aplicatia pentru mobil  Imou Life - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/imou-life-formerly-imou/id1071165451"" target=""_blank"">
  Descarca aplicatia pentru mobil  Imou Life - iOS
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_IPC-D52MIP.pdf"" target=""_blank"">
  Fisa tehnica IPC-D52MIP
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/CE_Camera_IMOU_IPC-D52MIP.pdf"" target=""_blank"">
  Certificat de conformitate IPC-D52MIP
</a></div></div></div>";IPC-D52MIP
;RH-TC5
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Manual-NVR-SAFER.pdf"" target=""_blank"">
  Manual de utilizare NVR in limba romana
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/GuardStation_Win64-B1130.3.6.0.L08_IN_.zip"" target=""_blank"">
  Guard Station - App pentru Windows x64
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/GuardStation_Win32-B1130.3.2.0_IN_.zip"" target=""_blank"">
  Guard Station - App pentru Windows x32
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/GuardStation_Mac-B1113.3.2.1_IN_.zip"" target=""_blank"">
  Guard Station app –  Mac OS
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/GuardTool_1103-B0011P05_IN_.zip"" target=""_blank"">
  Guard Tool Utility Software
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Guard_Player-B1111.1.1.0_IN_.zip"" target=""_blank"">
  Guard Player
</a></div><div><a class=""no-underline"" href=""https://a2t.ro/c/m/s/calculator-hdd-stocare-camere-video"" target=""_blank"">
  Calculator estimativ pentru stocare inregistrari
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Declaratie_de_conformitate_SAFER_IP.pdf"" target=""_blank"">
  Declaratie de conformitate SAFER IP
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_SAF-NVR8-8MP.pdf"" target=""_blank"">
  Fisa tehnica SAF-NVR8-8MP
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Manual_NVR_SAFER_in_Romana.pdf"" target=""_blank"">
  GHID RAPID NVR Safer in Romana
</a></div></div></div>";SAF-NVR8-8MP
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Declaratie%20Seagate.pdf"" target=""_blank"">
  Declaratie de conformitate STEA1000400 en
</a></div><div><a class=""no-underline"" href=""https://a2t.ro/c/m/s/calculator-hdd-stocare-camere-video"" target=""_blank"">
  Calculator estimativ pentru stocare inregistrari
</a></div></div></div>";STEA1000400
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/180197245-4571ac-Mi_360___Home_Security_Camera_2K_Pro_Quick_Start.pdf"" target=""_blank"">
  Manual Xiaomi Mi 360° Home Security Camera 2K Pro
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.xiaomi.smarthome&hl=ro&gl=US"" target=""_blank"">
  Descarca aplicatia Mi Home - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/ro/app/mi-home-xiaomi-smarthome/id957323480?l=ro"" target=""_blank"">
  Descarca aplicatia Mi Home - iOS(iPhone)
</a></div></div></div>";28309
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/53636_1_.pdf"" target=""_blank"">
  Fisa tehnica SDR-120-48
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/CE_Sursa_de_alimentare_SDR-120.pdf"" target=""_blank"">
  Certificat de conformitate SDR-120 Mean Well
</a></div></div></div>";SDR-120-48
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_pentru_Camera_IP_bullet_4MP_2.8mm_audio_Uniarch_IPC-B124-APF28.pdf"" target=""_blank"">
  Fisa tehnica pentru IPC-B124-APF28
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.app.phone.mobileez4view&hl=ro&gl=US"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (ANDROID)
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/guard-viewer/id1026746566"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (APPLE)
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Uniarch_IPC-B124-APF28_40_4MP_Mini_Fixed_Bullet_Network_Camera_V1.0.pdf"" target=""_blank"">
  Fisa tehnica  IPC-B124-APF28
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.uniarch.mobile.phone"" target=""_blank"">
   Descarca aplicatia Uniarch ( ANDROID)
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/nz/app/uniarch/id1461448726"" target=""_blank"">
   Descarca aplicatia Uniarch (APPLE)
</a></div></div></div>";IPC-B124-APF28
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/fisa_tehnica_IPC-HDW1239T-A-LED-0280B-S5.pdf"" target=""_blank"">
  Fisa tehnica IPC-HDW1239T-A-LED-0280B-S5
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/CE_IPC-HDW1239T-A-LED-0280B-S5.pdf"" target=""_blank"">
  Declaratie de conformitate IPC-HDW1239T-A-LED-0280B-S5
</a></div></div></div>";IPC-HDW1239T-A-LED-0280B-S5
;sursa5x5
;CS4006-4ET-60
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.app.phone.mobileez4view&hl=ro&gl=US"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (ANDROID)
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/guard-viewer/id1026746566"" target=""_blank"">
  Descarca aplicatia GUARDVIEWER (APPLE)
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_de_conformitate_camera_Safer_SAF-IPCBM2MP30-LED28_.pdf"" target=""_blank"">
  Certificat de conformitate camera Safer SAF-IPCBM2MP30-LED28 
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_Safer_Full_HD_SAF-IPCBM2MP30-LED28.pdf"" target=""_blank"">
  Fisa tehnica Safer Full HD SAF-IPCBM2MP30-LED28
</a></div></div></div>";SAF-IPCBM2MP30-LED28
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/TL-MR100_certificat_de_conformitate_RO.pdf"" target=""_blank"">
  Certificat de conformitate CE
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_TL-MR100_en.pdf"" target=""_blank"">
  Fisa tehnica TL-MR100 en
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Manual_utilizator_TL-MR100_en.pdf"" target=""_blank"">
  Manual utilizator TL-MR100 en
</a></div></div></div>";TL-MR100
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.tuya.smart&hl=ro&gl=US"" target=""_blank"">
  Aplicatie Tuya - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/tuyasmart/id1034649547"" target=""_blank"">
  Aplicatie Tuya - Apple
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Manual_de_utilizare_L2.pdf"" target=""_blank"">
  Manual de utilizare L2
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_SAF-IPC-L2_1.pdf"" target=""_blank"">
  Fisa tehnica SAF-IPC-L2
</a></div></div></div>";SAF-IPC-L2
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.smartlifeiot&hl=ro&gl=US"" target=""_blank"">
   Descarca aplicatia pentru mobil  Imou Life - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/imou-life-formerly-imou/id1071165451"" target=""_blank"">
  Descarca aplicatia pentru mobil  Imou Life - iOS
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Manual_de_utilizare_IPC-GS2DP.pdf"" target=""_blank"">
  Manual de utilizare IPC-GS2DP
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_de_conformitate_IPC-GS2DP.pdf"" target=""_blank"">
  Certificat de conformitate IPC-GS2DP
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_IPC-GS2DP-5K0W.pdf"" target=""_blank"">
  Fisa tehnica IPC-GS2DP-5K0W
</a></div></div></div>";IPC-GS2DP-5K0W
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/dmss/id1493268178"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - iOS
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.DMSS"" target=""_blank"">
  Descarca aplicatia pentru mobil DMSS - Android
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Declaratie_de_conformitate_IPC-HDW1239DT-PV-STW.pdf"" target=""_blank"">
  Declaratie de conformitate IPC-HDW1239DT-PV-STW
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_IPC-HDW1239DT-PV-STW.pdf"" target=""_blank"">
  Fisa tehnica IPC-HDW1239DT-PV-STW
</a></div></div></div>";IPC-HDW1239DT-PV-STW
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_pentru_camera_pe_baterii_imou_cell.pdf"" target=""_blank"">
  Fisa Tehnica Imou IPC-B46LP (EN)
</a></div><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.smartlifeiot&hl=ro&gl=US"" target=""_blank"">
   Descarca aplicatia pentru mobil  Imou Life - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/imou-life-formerly-imou/id1071165451"" target=""_blank"">
  Descarca aplicatia pentru mobil  Imou Life - iOS
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/CE_IPC-B46LP-White.pdf"" target=""_blank"">
  Certificat de conformitate IPC-B46LP-White
</a></div></div></div>";IPC-B46LP-White
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_IPC-S3EP-5M0WE.pdf"" target=""_blank"">
  Fisa tehnica IPC-S3EP-5M0WE
</a></div></div></div>";IPC-S3EP-5M0WE
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Wall_Mountable_Switches_Wall_Mounting_Guide.pdf"" target=""_blank"">
  Ghid de montare 
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/TL-SF1009P_UN_1.0_Datasheet.pdf"" target=""_blank"">
  Fisa tehnica TL-SF1009P
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/TL-SF1009P_ghid_instalare.pdf"" target=""_blank"">
  ghid instalare TL-SF1009P
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/CE_DOC_TL-SF1009P.pdf"" target=""_blank"">
  Declaratie de conformitate TL-SF1009P
</a></div></div></div>";TL-SF1009P
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Manual_de_utilizare_si_instalare_si_fisa_tehnica_pentru_camera_video_de_exterior_wireless_pe_baterii_Laxihub_W1-EU-NL.pdf"" target=""_blank"">
  Fisa tehnica si manual de utilizare si instalare (EN)
</a></div></div></div>";W1-EU-NL
;Alim2Ax20
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_NVR_4_canale_4xPoE_36W_40_Mbps_4MP_H265_1xSATA_Iesire_HDMI_si_VGA_simultana_Hikvision_Hiwatch_HWN-2104MH-4P_D_.pdf"" target=""_blank"">
   Fisa tehnica HWN-2104MH-4P(D)
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_de_conformitate_NVR_4_canale_4xPoE_36W_40_Mbps_4MP_H265_1xSATA_Iesire_HDMI_si_VGA_simultana_Hikvision_Hiwatch_HWN-2104MH-4P_D_.pdf"" target=""_blank"">
  Certificat de conformitate HWN-2104MH-4P(D)
</a></div></div></div>";HWN-2104MH-4P(D)
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_de_conformitate_Camere_IP_Hikvision_1.pdf"" target=""_blank"">
  Certificat de conformitate Camere IP Hikvision
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_DS-2CD1023G2-I_2.8mm_.pdf"" target=""_blank"">
  Fisa tehnica DS-2CD1023G2-I(2.8mm)
</a></div></div></div>";DS-2CD1023G2-I(2.8mm)
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_de_conformitate_DS-7104NI-Q1M_D_.pdf"" target=""_blank"">
  Certificat de conformitate DS-7104NI-Q1M(D)
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_DS-7104NI-Q1-M_D_.pdf"" target=""_blank"">
  Fisa tehnica DS-7104NI-Q1-M(D)
</a></div></div></div>";DS-7104NI-Q1/M(D)
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_de_conformitate_Camere_IP_Hikvision_1.pdf"" target=""_blank"">
  Certificat de conformitate Camere IP Hikvision
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_DS-2CD1323G2-I_2.8mm_.pdf"" target=""_blank"">
  Fisa tehnica DS-2CD1323G2-I(2.8mm)
</a></div></div></div>";DS-2CD1323G2-I(2.8mm)
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_DS-3E0109P-EM_B_en.pdf"" target=""_blank"">
  Fisa tehnica DS-3E0109P-EM(B) en
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_declaratie_de_conformitate_pentru_DS-3E0109P-E_M_B_.pdf"" target=""_blank"">
  Certificat de conformitate DS-3E0109P-E/M(B)
</a></div></div></div>";DS-3E0109P-E/M(B)
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/DH-PFM920I-5EUN_datasheet_20200706.pdf"" target=""_blank"">
  Fisa tehnica cablu UTP Dahua PFM920I-5EUN 
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/CE_cablu_UTP_Cat5e_Dahua.pdf"" target=""_blank"">
  Certificat de confirmitate PFM920I-5EUN
</a></div></div></div>";PFM920I-5EUN
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.smartlifeiot&hl=ro&gl=US"" target=""_blank"">
   Descarca aplicatia pentru mobil  Imou Life - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/imou-life-formerly-imou/id1071165451"" target=""_blank"">
  Descarca aplicatia pentru mobil  Imou Life - iOS
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/CE_NVRxxxxHS-W-4KS2.pdf"" target=""_blank"">
  Certificat de conformitate NVRxxxxHS-W-4KS2
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_NVR1104HS-W-S2.pdf"" target=""_blank"">
  Fisa tehnica NVR1104HS-W-S2
</a></div></div></div>";NVR1104HS-W-S2
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_de_conformitate_IPC-HFW1239DQ-PV-STW.pdf"" target=""_blank"">
  Certificat de conformitate IPC-HFW1239DQ-PV-STW
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_IPC-HFW1239DQ-PV-STW.pdf"" target=""_blank"">
  Fisa tehnica IPC-HFW1239DQ-PV-STW
</a></div></div></div>";IPC-HFW1239DQ-PV-STW
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_NVR_8_canale_SATA_4MP_60Mbps_HiWatch_Hikvision_HWD-2108H_C_.pdf"" target=""_blank"">
  Fisa tehnica HWD-2108H(C)
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_de_conformitate_NVR_8_canale_SATA_4MP_60Mbps_HiWatch_Hikvision_HWD-2108H_C_.pdf"" target=""_blank"">
  Certificat de conformitate HWD-2108H(C)
</a></div></div></div>";HWD-2108H(C)
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Certificat_de_conformitate_RSP-200-x_si_RSP-320-x.pdf"" target=""_blank"">
  Certificat de conformitate RSP-200-x si RSP-320-x
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_RSP-320-12.pdf"" target=""_blank"">
  Fisa tehnica RSP-320-12
</a></div></div></div>";RSP-320-12
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Ghid_instalare_ER605.pdf"" target=""_blank"">
  Ghid de utilizare ER605
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_ER605.pdf"" target=""_blank"">
  Fisa tehnica ER605
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Declaratie_de_conformitate_pentru_ER605.pdf"" target=""_blank"">
  Declaratie de conformitate pentru ER605
</a></div></div></div>";ER605
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_pentru_HX21.pdf"" target=""_blank"">
  Fisa tehnica pentru HX21
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Ghid_de_utilizare_pentru_HX21.pdf"" target=""_blank"">
  Ghid de utilizare pentru HX21
</a></div></div></div>";HX21
"<div class=""docs""><h3>
        Descarca de aici <strong>documentatia necesara:</strong></h3><div class=""docs-content""><div><a class=""no-underline"" href=""https://play.google.com/store/apps/details?id=com.mm.android.smartlifeiot&hl=ro&gl=US"" target=""_blank"">
   Descarca aplicatia pentru mobil  Imou Life - Android
</a></div><div><a class=""no-underline"" href=""https://apps.apple.com/us/app/imou-life-formerly-imou/id1071165451"" target=""_blank"">
  Descarca aplicatia pentru mobil  Imou Life - iOS
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Fisa_tehnica_pentru_camera_de_supraveghere_Imou_Cruiser_SE_IPC-S21FEP.pdf"" target=""_blank"">
  Fisa tehnica IPC-S21FEP
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/CE_IPC-S21FEP.pdf"" target=""_blank"">
  Certificat de conformitate IPC-S21FEP
</a></div><div><a class=""no-underline"" href=""https://www.a2t.ro/source/Specificatii_de_baza_pentru_camere_imou_cruiser.pdf"" target=""_blank"">
  Comparatie intre modelele Imou Cruiser
</a></div></div></div>";IPC-S21FEP
